Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
34.4972677251,12.6556511492,39.5776680195,4.082620633,587.9510539684
31.9262720264,11.1094607287,37.2689588683,2.6640341821,392.2049334443
33.0009147556,11.3302780578,37.1105974421,4.1045432024,487.5475048675
33.3306725236,12.7951885511,37.5366533006,4.4463083184,599.4060920458
32.0215955014,11.3663483097,36.6837761529,4.6850172466,521.5721747578
33.9877728957,13.3862352757,37.5344973416,3.2734335777,570.2004089636
33.8793608248,11.5847829995,37.087926071,3.7132092029,522.3374046069
29.5324289671,10.9612984002,37.420215575,4.0464231643,408.6403510726
33.1903340437,12.9592260916,36.1446667,3.9185418392,573.4158673314
32.3879758532,13.1487256921,36.6199570828,2.4945436467,470.452733301
30.7377203726,12.636606052,36.2137630937,3.3578468423,461.7807421962
32.1253868973,11.7338616909,34.8940927514,3.1361327165,457.8476959449
32.3388993231,12.013194694,38.3851365941,2.4208061609,407.7045475495
32.6178560628,13.9895925558,37.1905038004,4.0645485504,605.0610388049
33.5030872567,12.8779836963,37.4410213356,1.55915194,419.9387748392
31.5316044826,13.3785627842,38.7340062899,2.2451477874,436.5156057294
32.9032509734,11.6575759221,36.7726037613,3.9193023086,519.3409891308
34.5075509985,12.8936695041,37.6357558779,5.7051539706,700.9170916174
33.0293319535,11.7658126455,37.7385249456,2.721735992,423.1799916806
33.5412313131,12.7838917843,36.430649621,4.6481993164,619.8956398616
32.3359896374,13.0078194244,37.8517791694,2.9963645263,486.8389347651
33.1102050577,11.982044994,35.2930877544,3.9234887455,529.5376653369
33.1054379425,11.965020003,37.2778117421,4.7425775196,554.7220838331
33.2419004345,12.3054178134,36.163648171,3.0623681453,497.5866713004
32.1755012379,13.3874921056,35.6941749857,4.3430629154,588.7126055096
32.7283600031,13.1045072429,38.8780405068,2.820097234,491.0732236795
32.8203099454,11.6348932526,35.3686263254,4.1245852967,507.4418323396
33.6160378928,11.9363864999,38.768640998,3.6492861577,521.8835731665
32.8653271749,11.9844175236,37.0443614003,3.4523885826,490.738632144
32.7493681811,9.9549759692,37.3883148672,4.6504912691,478.1703340541
32.5672304803,12.4890132157,36.3714798141,4.2224362253,537.8461952696
32.0705462209,11.7331062204,37.5342910111,4.6712754609,532.7517875818
33.792039075,12.507525374,37.1428619846,4.214495086,591.1971781806
32.0444861274,13.4149347359,36.1124350108,2.2586863869,448.2298291866
34.5645577062,13.1465514329,37.3354458943,3.8768751769,593.9150029683
31.6610498227,11.3980641901,36.5944567001,3.1983992717,416.3583535799
33.2563354698,13.8580624621,37.7802646872,5.976768126,725.5848140557
33.900224414,10.9567909678,37.2668782594,2.9526689579,442.6672517386
34.187774827,10.3201162551,37.4534051015,2.0948917061,384.6265715694
33.7620692391,9.9845143965,35.933449301,3.8554716846,451.4574468676
34.3901636643,12.6451951408,38.4683211059,2.8745969103,522.4041412596
33.9252966012,11.5886554234,35.2522420224,3.3920504891,483.673308019
34.3018702154,10.5682946856,36.173125632,3.3152247539,453.1695023547
32.8439302227,11.8322862229,36.8140105625,3.4719191365,496.6507080686
33.8797842897,12.4955916024,38.0526097526,4.6393203319,616.8515229667
33.0765356071,9.6073146875,36.4939925467,5.0812100925,507.2125690007
32.7897726183,11.6700659191,37.4087484767,3.4146884225,483.1597207845
34.3742580452,15.1269942888,37.1576240941,5.3775935836,765.5184619388
32.1790999726,11.1875389109,40.0051816381,3.5526497674,451.5756851595
33.1541757883,11.887494134,36.265000697,2.602287112,444.9665516533
32.8086975927,12.8171130903,37.0315392168,3.8515788004,534.7771880994
33.879744968,13.587806083,38.2603534427,3.2581128829,578.2416050584
33.5552074214,11.5518211662,36.6288342928,2.8379431641,444.2859074976
33.1420793273,11.4333799333,35.8924316344,4.4702825841,544.7798637194
32.5971826598,10.8895668634,38.2125708341,4.442054329,488.7860610939
33.167136877,11.9288420939,36.9146333114,3.1649439953,475.7590677883
31.5147378578,12.5956713051,39.6003764659,3.7517345521,489.8124879965
34.5940211495,10.9472585842,35.883994387,3.159754444,462.8976361529
33.5013698221,13.8980819935,37.0589128165,4.1305628092,596.4301726172
32.402371018,10.8755595482,37.78114256,1.9140899242,338.3198626415
34.4478714365,10.6077238709,36.8190955132,3.3664637434,473.728966513
32.6055836416,12.0688160797,36.1050004999,3.9174511191,505.1133435399
32.4914466031,12.5303573735,37.8752191,2.4761390506,449.0703194428
33.6160185526,13.516284297,36.7731234937,4.1255843633,611.0000251041
33.7106530591,13.6647478752,37.7243861576,1.36267408,439.0747667416
32.1977237974,11.8302310949,36.6338567023,4.1933246355,514.0889577466
32.4612124451,13.2911430454,38.6336256516,3.8710034002,543.3401662567
34.1838205206,13.3499129444,37.8273942279,4.2520061056,614.7153338263
33.8263520091,12.0840917308,35.8903579557,3.0216718217,495.2994425473
32.4983930747,13.4107591849,35.9904889548,3.1846186616,518.064557984
31.8854062999,11.2819310741,37.3853175528,2.8772248783,390.1032729725
33.4378295623,12.5954203464,36.2620318001,2.9696402266,492.1050523892
31.3895854807,10.9942239194,38.0744524197,3.4288599039,410.06961106
33.468699949,13.0855057601,35.8458271138,2.9269402355,497.5136833294
32.2917561003,12.1904742873,36.1524620886,3.7818230393,494.5518610866
32.0637746203,10.7191497406,37.7125086388,3.0047425359,378.3309069068
31.8530748017,12.1493754916,37.3253342238,3.3618146244,459.2851234624
32.0123007682,12.178331334,37.7159861776,3.7225611729,492.945053066
32.3884516255,11.0104821324,38.4150415815,3.5435470502,424.7626355099
32.6531814588,11.6025321935,37.3096887709,2.7894615164,422.4267758765
32.9313364419,12.7322115885,35.6008205491,5.4859767342,642.1015787312
33.9257948955,12.0110218766,36.7010523155,2.7534241688,479.2310929116
33.0592640914,11.7259100978,35.9990993016,5.0048205775,593.0772413448
34.5693812187,12.8549903666,35.0074822574,3.2927976626,576.3111773717
33.7016051987,11.5640223681,37.6732103656,4.7161049872,576.8025473996
33.2683302177,11.1133298974,37.3879455426,4.0187266097,514.239520719
31.3584771924,12.8098834734,36.5496679901,3.6377012795,495.1759504495
33.0147922152,11.7611723255,37.5701638447,3.8341696666,514.3365582674
31.5761319713,12.5798941736,37.0932648701,4.5319866067,541.2265839893
34.7093232961,10.6517937835,37.146006529,3.2182653851,468.4457372274
32.7717150097,11.5408324362,37.5264210278,2.9240207246,431.6177337614
33.7004004568,11.9243949233,37.24503247,3.905250309,552.9403454501
32.4397702533,12.4241304114,38.9488250275,4.9203184061,573.3062222575
32.4551762851,12.7591689788,36.5991123543,4.1312766484,542.7115581026
33.5409767918,11.8518908349,37.4245479223,1.7677307076,407.8040306357
33.3583982814,12.7036879289,36.1009144521,2.724108202,482.3535703214
32.6861292561,12.2152524249,36.5943616849,3.89711586,529.2300901235
34.5582946091,11.2814450036,36.4944064829,2.4916715413,433.0487690958
33.5477479443,10.735362918,37.4583747312,3.8634254422,476.1914133495
31.9549038566,10.9631317761,37.3272826899,3.5786339004,439.9978799399
31.8512531286,12.418961981,35.9776517071,3.2517417703,472.9922466668
32.6092826356,10.5373075378,35.7305524023,3.9143846672,463.9235129903
32.115119066,11.9192423979,39.2940434625,1.4435150747,350.0582001638
33.9246248095,11.9114155569,38.2747021957,2.9100379165,460.0612773912
33.477190403,12.4880670021,36.5183835891,3.3455709758,505.771140323
32.2559012044,10.4805068327,37.3386696218,4.5141224411,479.7319376453
32.384732659,10.8616041991,36.5844376218,3.9936565125,465.8893127109
32.8871046456,12.3871841736,37.4311590983,6.4012288378,684.163431016
32.5102179944,10.9848358882,37.3964974753,5.391275125,555.8925953882
36.1396624888,12.0502672344,36.9596431939,3.8648607392,595.8038188761
32.2946415496,12.4430478904,37.3278480378,5.0848613086,586.1558701805
34.6033111194,12.2072984911,33.9138472476,6.922689335,744.2218671047
33.5985203186,11.5863195292,39.0946270267,3.6043985603,512.8253581285
34.5686808457,11.3780870878,38.3044711917,3.7849321101,528.223809368
32.8381001606,12.3643416045,38.0391093871,3.309182328,468.913501322
33.5037051791,12.3994360751,35.0128060336,0.9686221157,357.5914394151
33.3018816146,12.5424810508,38.3113648976,3.7685619627,536.4231045259
30.8794843441,13.2804322429,36.9361593785,3.5851606352,490.2065999849
33.154254757,11.7958866769,37.6586169094,4.5203533775,550.0475805762
32.0478009789,12.7180391745,37.661106684,3.6758488,513.4505711861
33.6308007679,12.0396478408,38.9240870506,2.8730075085,497.8119300055
34.046638028,12.4744554539,35.0378561594,4.0557759617,578.9862585805
33.6441770004,13.1600200403,36.4077474508,3.0151752987,506.5363931401
32.6546216073,11.0523236533,37.6330094166,4.7171025128,501.7492333084
31.8648325481,13.4434059851,36.8783153678,2.3610869469,439.8912804768
33.4322313963,10.8596085332,38.8356700809,3.6692256113,465.1766233053
33.3085716163,11.6916861258,37.4809119763,1.7157771666,373.885723697
32.3326370683,11.5487614398,38.5765155499,4.7735030473,532.7174856762
33.0757030316,12.3198450621,37.8191551123,3.442799202,501.1002452321
32.2301491159,11.0843608367,37.9596843202,4.7240274398,517.165135594
32.4971984615,12.832802837,37.6792446245,2.9722713821,493.7191929782
32.5337968609,12.2933658383,37.0646211996,3.6203649884,485.9231305249
32.4842604828,10.9332522785,36.5455062268,3.2613247448,425.7450920311
32.5434591696,13.3328392845,37.9643903318,3.5974599688,537.2150526997
32.2831230611,10.902556227,36.0942419528,4.7892016242,524.6379646141
32.200798644,12.2769817127,38.2326062271,3.3164647447,478.8853913201
34.7133165066,12.0388082399,37.6352994097,4.632460946,612.3852298964
32.7125123269,11.7244738568,37.1531516041,3.3084430007,476.7667241548
33.694897651,11.2026698997,35.4939640801,4.0159866404,505.1196375282
31.5702008293,13.3780633289,36.3378000312,4.3693667938,545.9454921414
33.459476849,11.3886126186,37.9091387176,2.5666398438,434.0216997527
31.8209982017,10.7710740626,37.2786397937,3.519032434,424.6752810132
32.733224164,11.8185717623,37.1020313269,1.5038544212,352.550108163
32.4071483,13.8087986751,37.4267689175,5.0399552637,662.9610878059
34.0072119722,12.4943229333,36.0454594205,4.3307144619,590.5627196472
31.525752417,11.340035932,37.0395136532,3.8112481708,443.9656268099
31.0472221395,11.1996609623,38.6887090994,3.0887639575,392.497399189
34.5957766944,11.3324877781,35.4598627971,4.5416952567,568.7175759305
32.2952476262,11.0313583404,38.2529782733,3.1074686827,413.295999181
33.3242405218,11.0845840864,36.7760165769,4.7469897029,562.0820453929
32.903454333,10.542645424,35.5338635003,3.0918268695,412.0129312988
32.5594931301,11.7977955149,37.7773657968,3.1956257764,468.6684655991
34.0816461968,12.1045424281,36.0596459799,3.9745224805,548.5185292758
33.3044312853,12.3784902228,38.7642971745,3.8438489215,536.130896855
34.3307504437,13.7224536762,35.7731163912,2.9090084605,558.4272571753
32.0789475796,12.7259093236,36.5446640987,1.1390935384,357.8637186384
33.6057989989,13.6851188996,34.8919832675,2.6852848361,529.0566631985
32.5308294411,12.3546070818,37.1223452082,2.3075524212,420.9161595327
31.7366356861,10.7485336554,35.7387074712,4.8355286674,496.9334462555
34.1175666942,11.5918716651,37.7436196995,3.678589399,519.3729768014
33.6366244581,11.2365067588,37.6750207329,5.2547089259,591.4377355685
34.3348645331,11.1094563332,38.5858547573,3.8928914802,502.4097853029
34.8149839437,12.1149449552,36.2887239504,4.3894552264,604.3348400689
32.836940767,10.2565490313,36.1439084563,0.7895199079,256.6705822901
32.2996471635,12.1685964729,37.0736161722,4.4033698309,547.1109823629
32.7273191961,13.0133756273,36.651277917,2.3678482244,458.3769106506
33.9462406199,10.9839767278,37.9514894586,3.0507129732,436.2834981468
34.1737520237,12.1447485367,37.2580314587,3.3973630928,512.5525343564
32.9751818263,13.909915511,37.7922375431,4.2976865243,630.4227632299
34.1970596945,13.0335661827,37.076795156,2.6334199887,493.1802162493
33.1772046661,11.622777173,35.9688956905,3.6340937274,501.2091726817
32.6932395389,12.6007504016,37.3701182236,3.467014066,501.9282648732
31.6253601348,13.1879109852,37.0670899674,1.4943108952,376.3369007569
31.2606468699,13.2667603529,36.9711950975,2.2672511144,421.326631257
32.6862450904,12.6385721222,36.0972209347,4.297737482,571.4710341154
32.4545525376,11.8229832983,36.9461257817,3.6569839267,490.6004425004
31.2834474761,12.7256773672,35.9656674642,5.0002433605,591.7810894257
32.9800291985,11.201159766,37.6893369789,2.412830961,409.0704720533
31.9096268275,11.3472636115,36.3236524682,5.3143541412,563.4460356732
34.4024096482,14.2209791082,37.5231966505,4.077775098,647.6194557252
32.9597643111,11.5462757595,36.9479536928,3.2750706813,448.340425011
32.672943525,12.2760569845,37.1927935322,3.9824715131,523.6339351357
32.7285207631,10.1317124619,34.8456123933,3.2877018241,393.8573709861
31.7242025238,13.1722874953,36.1997534739,3.5578136982,503.387887288
32.7111192993,12.3262913855,36.6738783577,3.3502792875,482.6024673295
33.1366552477,13.8913134218,39.220712951,2.9070949348,524.7976275698
34.379394385,12.9309285413,36.3602471979,3.7927119552,574.6548433659
32.0961089938,10.8048905576,37.3727621463,2.699562055,375.3984554102
35.0392830649,14.4264910504,37.3741835049,3.9306153266,640.1877400086
32.5505265744,13.0412445882,36.655208084,3.4562338235,514.0098178487
32.5824935708,11.7397437962,36.8548108248,2.1820169698,376.4968407185
33.1083361483,12.8923745137,36.5273883043,4.5941168646,614.7296376283
33.7326483926,12.1387938771,36.8538824599,1.6234196095,399.9838715981
31.6005122003,12.2229674465,36.8227532266,3.4145062403,479.1728514911
34.3189274385,13.4023318969,37.2920447053,3.6060868889,585.9318442972
34.0064889184,12.9562766054,38.6550945385,3.2757337052,540.9957391083
33.5404790601,12.8841246213,36.226041694,5.0072719866,628.047803933
34.4364258378,13.3254690961,36.7686030915,3.3712581132,582.4919237338
33.5516991375,12.1585852339,36.5751337761,5.4539694746,640.7861663983
31.8186165668,11.2265456635,35.669935166,3.7558693893,446.4186733701
32.3631212941,12.461135435,37.7456077419,4.6642584972,570.6300980875
33.1915708844,9.8461249087,36.8763132334,3.8066709486,423.3083340975
32.6079027193,13.6772458415,37.7446996951,2.8719475362,530.3624688854
32.262003107,11.6449695464,37.0268769708,3.2367328143,442.3631173839
32.2718482809,13.4850089881,37.5508804132,3.0863372723,511.9798599921
33.7951249308,11.6209965076,38.4194685327,4.5596990833,560.4437921718
33.0777307945,11.4669842191,35.6757276308,1.8092295918,374.2696745439
31.3123495994,11.6849041924,38.7170762977,3.5942950999,463.5914180279
32.8727386145,12.0939663554,36.6207738555,3.0491957438,471.6028843929
33.9085650317,12.9148466346,39.0688644513,1.482359644,432.4720612514
34.3943266484,12.8077518332,38.5510302898,1.8100798764,467.4278485004
32.4233047272,13.0582779271,37.2638755614,3.373104674,503.2173931191
33.539396347,10.5345534995,37.0347912893,2.2147975194,378.4735664479
33.7709000976,11.1539660549,37.2403295521,4.7294845416,557.6341089957
31.3091926409,11.9471753239,36.1908332365,3.2055297645,432.7207178399
33.612563355,11.4705650047,37.0616887661,3.8025114388,506.4238599698
33.3982601296,11.0378504137,38.6173344537,4.1163404671,510.1598172791
33.6225918405,11.1673568975,35.626587331,5.4625007641,587.5747994806
30.4925366965,11.5629362467,35.9765649717,1.4816166269,282.4712457199
31.904857131,12.2277282797,36.9859134761,3.7714201319,473.9498574228
32.975192903,13.3944517889,37.8069776698,3.5690465159,541.9722037583
30.8162006489,11.8513987431,36.9250430389,1.084585303,266.0863409485
33.9140151173,12.2665038389,36.5750309758,3.023474446,494.6871558103
33.302672208,13.4592222898,36.3395210102,5.5663848921,689.7876041747
32.6446169058,12.6375571594,36.5170857636,5.2266877125,604.8413188212
34.1022785087,8.508152176,35.462400081,1.8382107023,302.1895478097
34.7290801656,11.9668980768,36.547596277,2.9574487565,506.1323424377
30.3931845423,11.8029857776,36.3157631518,2.083814192,319.9288698032
33.5664743896,12.2356592451,37.2775733762,2.5320440615,466.4211988217
32.8487928288,10.9731620843,36.6095071543,2.8709869097,404.8245288727
33.5318601306,13.6657697943,36.9002207616,3.5156882562,564.7909690079
33.4190673455,13.3911201792,37.1941910465,4.0699166186,596.5166979732
33.2646320732,10.7321313403,36.1457917125,4.0865663385,478.2621263968
32.7624559603,10.9523533805,37.6462917874,4.0194703516,473.3604955717
33.7852072057,13.0395110253,36.3127265715,2.0181946293,447.1876443054
33.2171878429,10.9996836611,38.4427666868,4.2438128167,505.2300682821
31.1280900496,13.2789562286,37.3871805266,4.626075292,557.2526867471
33.3695173561,10.6279492262,38.0403136666,3.0029570228,422.3687366068
32.8378930532,13.1851811674,35.9215951889,1.823595183,445.0621855089
30.5743636842,11.3510490113,37.0888465797,4.0783080017,442.0644137581
33.1442339999,11.7370406353,37.935189046,2.1901321854,424.202827099
31.9764800615,10.7571309261,36.5958679459,1.9770071278,330.5944460341
32.3025531031,11.9790614839,38.2690606915,3.5328615796,478.6009159443
32.0180740106,10.079463452,38.0706642585,2.6181653104,357.7831107453
32.3427962317,11.4096446164,35.7777821707,3.8724320419,486.083425503
32.7656645875,12.5065481903,35.8234666664,3.1265094897,488.3875257801
33.7698123717,11.3044623074,37.8339717286,5.137816746,593.1564014822
31.8124825597,10.886921181,34.8978276883,3.1286388557,392.8103449838
32.0085045179,12.0958894851,36.3775090343,3.1789524051,443.1972210288
33.304336618,12.6926614297,37.3335906133,3.8273759151,535.4807751896
32.1898447293,11.3867755513,38.1974832484,4.8083203729,533.3965537868
34.9356051056,10.7284185394,36.8811924075,4.0485100873,532.1274491097
33.551650608,11.9368951598,35.9002527822,4.5433324133,558.9481123879
32.3869686746,12.7179951023,35.1288223531,3.4810621331,508.7719067415
33.3445086852,10.9698028741,35.9745781076,2.6276249714,403.7669020956
32.0542618512,13.149669558,37.6504002035,4.1956144127,561.874657669
32.0775900443,10.3478769457,39.0451556964,3.4345597225,401.0331352191
33.9810055798,9.3162892044,36.9149515454,2.8684281816,384.3260571375
34.179517568,12.5815477299,35.4442646964,3.1370689755,527.7829957561
32.6027389804,11.7644475895,37.9227038096,3.5258064122,482.1449968758
32.0305497162,12.6442021189,38.0018274675,5.0381074938,594.2744834186
32.9905990429,10.4412350616,35.9389625024,2.8950751628,407.6571787593
34.385820293,12.7297195104,36.2321098026,5.7059407166,708.935184867
34.3571962682,9.477777608,37.9060145201,5.0470225514,531.9615505452
33.7051127975,10.1631790601,37.7630410815,4.778973636,521.2407802358
31.8293464559,11.2682592306,36.9569654251,2.6689197733,385.152337988
32.3974219443,12.0553401613,37.6854654872,3.5069675736,483.7965220615
35.0374499616,11.9359349666,35.7839237445,3.3101503466,538.9419745312
32.7849402326,12.4512000124,36.6657913692,3.5358024679,486.1637990666
33.3859901908,12.7821717948,35.5507722668,3.2287176863,527.7837897575
33.5565556714,12.9603071289,37.9519463177,3.345922321,547.1907493519
33.5873733902,9.9539950061,37.3457389344,3.215666827,410.6029439492
34.188184061,13.1300216648,35.4293343885,3.7905521369,583.9778019715
33.593963548,11.5205667886,36.1891317954,3.5612152714,474.5323294399
33.2362657215,10.9725543143,34.5740275872,2.9316195347,414.9350606518
33.2089197006,13.5319134619,38.9524625216,3.0465406207,550.8133677324
33.6378116759,12.0395023705,34.4871847477,2.7392004668,458.7811316843
34.195508031,12.6641926225,37.0271503648,4.3304074442,581.3089328795
35.8602365134,11.7306613943,36.8821490815,3.4162099776,546.5566668627
32.4308385791,13.8872754134,38.3819559721,3.7729690246,557.6082620534
31.4459724828,12.8464990675,37.869216936,3.4201495302,484.8769649351
34.140393428,11.5685266417,38.918748541,4.0828552788,537.8252822957
32.3779896589,11.9717507866,37.1993675278,2.8296995751,408.2169017708
33.1723310907,13.0786924395,37.3298186252,5.4054064672,663.0748176068
33.247322203,11.9564264849,36.51734612,3.4517507098,506.3758667502
33.5989133393,13.2527370942,37.30596142,2.9355772737,528.4193296953
33.0852979906,13.0935372812,38.3156479606,4.7503600714,632.123588142
32.2784433479,12.5274717445,36.6883665425,3.5314023031,488.2702979651
33.4415530448,11.2359689543,37.0526163081,3.9044793796,508.7357409507
32.8653012092,12.074830168,35.5691703174,2.3990797898,411.1869635743
33.0008496402,11.2307433068,36.9952901664,3.7817035651,467.8009243668
32.0883806304,11.9078440998,35.1891224444,4.3497784186,512.1658663882
32.9925731967,13.0043620057,36.9850414174,4.6204163849,589.0264897563
32.5920932258,10.3147179219,36.7290294011,4.7911087446,493.1812613907
31.5171218025,10.7451885542,38.7912346869,1.4288238768,275.9184206504
33.454301926,11.0167556367,37.6373109612,4.1370003882,511.0387860512
32.21552742,12.2168546934,36.9539597011,2.9105308225,438.4177420115
33.717554613,10.8069660678,36.0123172305,3.701229217,483.5431938654
33.2154715748,12.135101397,37.1420936893,5.8405058759,663.8036932755
31.5741380229,12.9415557299,36.7252768256,4.5603960673,544.4092721606
33.8945703887,13.3002993633,36.393683855,4.4900020656,630.1567281671
34.3703270462,11.8878004158,37.8614472593,3.0466201888,491.9115050963
34.0802600917,11.5914397031,36.4568984105,4.6528544461,574.415689608
31.4252268809,13.2714750425,37.239846611,4.0221029095,530.7667186548
33.6253072646,12.9882205986,39.6725909559,3.9694177591,581.798797677
31.862741109,14.0398672625,37.0222689859,3.7382251733,556.298141174
33.2925873073,11.9065077622,38.4228652934,3.3766874995,502.1327892273
33.7492277708,11.1371403023,38.4013736895,4.5955227086,556.1863688688
34.1449689872,12.9026648891,36.6111987758,2.2239934583,475.0716298997
31.1239743499,12.3865162565,35.6321122155,4.2884867709,486.9470538398
34.27824788,11.8227217456,36.3085452944,2.1173825415,434.1442020263
35.4331653006,11.9122104799,36.0896436577,4.0009635865,583.0796356621
33.9188441778,12.4287369279,37.3053618793,4.1582146527,565.9943634015
33.2006163414,11.9659802668,36.8315358508,3.5490360574,499.1401524491
32.5367748975,11.1213660605,36.9793723735,4.1292546881,510.5394216996
33.0250201386,12.5042198077,37.645838788,4.0513824654,561.5165319791
31.2681042108,12.1325091116,35.4567981489,3.0720761415,423.4705331738
33.4995061007,11.946590885,36.4863250724,3.9378626432,529.194518865
32.9048536674,12.5561076169,37.8055094324,0.26990109,314.4385182951
32.2046546457,12.4807015171,37.6802876084,3.2794662601,478.5842860083
32.6751545084,12.5941940662,37.6838753736,2.5717778355,444.5821649787
32.9983876624,10.9468419396,37.6478080553,3.8260306175,475.0154070878
33.9431185791,11.4841986938,36.8393658328,2.4024538334,436.7205558562
33.6768308681,10.9713924309,37.7223671109,3.6293399153,478.1830597119
32.6419463656,11.5889485797,36.3221409169,3.1896099419,432.481168557
32.7670760812,11.0762593409,34.779750502,2.57494847,388.9405487922
33.97608258,11.6580368142,37.4252786801,2.0863481466,407.8763782205
34.0341635311,13.5925126579,36.8386567863,3.6059339177,618.845970424
33.5038103817,11.2334149535,37.2111525814,2.3205502499,397.4205840965
31.8745516946,10.2903507651,36.9297615617,3.491093337,392.2852442463
32.5332399827,14.1217838393,38.4063290101,5.3200938638,689.2356997617
34.8513141659,12.4155419633,37.6723224842,3.1305384625,543.1326262892
33.4596193175,12.6643905247,36.366843247,1.7269620432,436.5807403475
31.1695067987,13.9701810741,36.6739527386,1.7851739449,427.3565308023
32.518196814,11.5092534535,36.5992890874,3.0226757599,424.7287739291
33.665990322,12.263717676,38.8602344303,3.139526935,469.3831461724
31.6098395734,12.7107013005,36.1664633919,2.5628188108,444.5455496511
33.700885539,13.4715776719,37.0716431983,2.3790764969,492.5568337005
34.3366772231,11.246812606,38.6825837841,2.094761669,408.9583359406
31.0613251567,12.3576381072,36.1660416334,4.0893308412,487.5554580579
34.6062424526,11.7618838037,38.1265197979,1.8208106182,402.1671222237
32.0478146331,12.482669925,35.5360245303,3.3939027881,497.3895577588
30.9716756439,11.7313642941,36.0745511402,4.4263640805,494.6386097569
33.6068508231,12.2140737459,37.1984278227,2.9052383614,479.2474167841
33.3693809382,12.2224839419,36.3552348836,3.4470177928,515.5024796637
35.6308538611,12.1254019679,38.1877636809,4.0190514268,597.7398788792
34.6955911911,11.6089970709,37.6848772753,3.1630919311,510.4013884525
34.3439219084,11.6930581971,36.8129341255,3.4470928961,510.5014784748
33.6809369496,11.2015698847,37.8354477274,2.208813678,403.8195198322
32.0609143984,12.6254326421,35.5391424275,5.4123578396,627.603318713
33.4310971025,13.3506316845,37.9659716228,2.7688519433,510.6617922197
33.2376599844,13.5661596131,36.4179847964,3.7465729731,573.8474377162
34.7025289729,11.6957362935,37.1902677105,3.5765259153,529.0490041294
32.6467766806,11.499409061,38.332576332,4.9582644726,551.6201454762
